"tSNE_1"	"tSNE_2"
"PTH13"	47.0593294733133	6.19713187581947
"PTH1"	47.9276818896717	5.45717121815145
"PTH20"	30.5123410747593	5.03110975448209
"PTH26"	46.6841405806561	6.41556268779187
"PTH5"	48.8513344505333	5.30788701970419
"PTH8"	46.2243267576308	7.40778067595397
"TTH22"	49.6526279843121	5.4238640953341
"TTH28"	49.5461604381209	5.50543253006727
"TTH2"	49.9776533580682	5.80704076743578
"TTH37"	48.9620180742901	8.57192679841693
"TTH48"	48.5182224248044	7.57607598988609
"TTH4"	48.7940084715886	6.98253474274907
"PTH44"	-9.56153956506201	-9.2060640410948
"TTH11"	48.3542953781043	5.29820691425873
"TTH15"	46.6709545240545	7.2170989316236
"TTH17"	50.229207296354	5.64204793664652
"TTH26"	51.4651092906613	6.28579427773698
"TTH31"	49.4263605220743	9.26545350021728
"TTH39"	49.7760672671673	5.35794888030355
"TTH43"	49.9753712598102	5.22704867062529
"TTH45"	47.2435347072459	7.82979067256043
"TTH8"	50.7848707204209	5.93472271916016
"PTC141-0205"	-15.3463668995488	-6.57542020160724
"PTC142-0205"	-36.8189183551276	-11.666044672037
"PTC143-0205"	4.24298997678667	24.8466607341381
"PTC144-0205"	-38.7390461781598	-16.2979034793269
"PTC16-0205"	-24.5225827627715	16.4430071479248
"PTC23-0205"	-29.7595426247653	-19.7122564361358
"TTC100-0205"	-7.97844292490683	-28.993459530169
"TTC10-0205"	-7.35123683799376	-32.6923716116842
"TTC2-0205"	1.49201817615841	-14.8276864990049
"TTC97-0205"	-12.816428575164	9.98465417736244
"TTC98-0205"	1.0931620005937	-14.3080516377187
"TTC99-0205"	-13.2855690464095	-21.5081917871474
"PTC10-0205"	-22.8191420991539	-16.6680365267793
"PTC10-1202"	45.1829757256636	7.31393765173973
"PTC11-0205"	-17.2540897273609	-12.1636553383571
"PTC1-1202"	43.7152197283084	7.30435493347846
"PTC12-1202"	38.9340977769931	9.18091509816169
"PTC13-1202"	37.7269674798896	9.17544695594948
"PTC14-1202"	44.6341558690894	7.65042514898352
"PTC17-0205"	-12.6935380672043	-10.8798828801909
"PTC17-1202"	45.0795903932965	7.00872504254988
"PTC18-1202"	43.9628528025398	7.56717391034519
"PTC19-1202"	46.3674991223407	6.66995583370452
"PTC20-1202"	43.2174415135423	7.13151352634453
"PTC21-1202"	44.8808244600052	6.92117660427202
"PTC2-1202"	43.883362439163	7.80233869072498
"PTC22-1202"	43.1317112009746	7.07539213970527
"PTC23-1202"	43.1264267293322	7.12126727217323
"PTC24-0205"	-6.48202529950546	-9.95309770999966
"PTC24-1202"	38.8129986724168	6.96324838846971
"PTC25-0205"	-4.43866077068115	-8.61661884294759
"PTC26-0205"	33.7737466613095	6.17141287169924
"PTC27-0205"	-25.0986594217271	-19.0472384501645
"PTC29-0205"	-5.94573755418914	-9.69237490387664
"PTC3-0205"	-17.9642819288656	-13.0120005911531
"PTC34-0205"	31.2516013422425	6.03150252059044
"PTC35-1202"	45.7944022538216	6.90077734760723
"PTC38-0205"	-22.5050848478131	-15.8784716917672
"PTC38-1202"	38.7689473439394	6.8991557955101
"PTC40-1202"	11.1762616954381	14.8737533990356
"PTC4-0205"	-19.0611593067017	-16.8661866642502
"PTC4-1202"	44.7805375037743	7.63330450114078
"PTC5-0205"	-29.1565654827601	-21.0797938875403
"PTC5-1202"	43.4777744841781	7.37204456087633
"PTC6-0205"	-12.834516289746	-10.9806319928104
"PTC6-1202"	43.6249345912491	7.1983656188121
"PTC7-1202"	43.3272465206842	7.15273319844272
"PTC8-0205"	-6.59459562595235	-10.1755905118347
"PTC8-1202"	31.2405960720972	5.62178612644611
"PTC9-0205"	-14.7253912366224	-12.9617148385242
"PTC9-1202"	46.8419270899648	6.16191822298167
"PTH1-0205"	35.0576853384967	12.0271875235242
"PTH61-0205"	17.405428056178	7.32497998394166
"PTH7-0205"	25.2107520910266	15.1914237270193
"PTH8-0205"	24.7464764218024	14.881242308033
"PTH82-0205"	-8.53852823970682	15.0812652370552
"PTH9-0205"	24.6932645183585	15.9288176907202
"PTS1-0205"	36.4000904637946	14.9178867691753
"PTS13-0205"	26.612320372314	17.5518626377888
"PTS22-1202"	47.0388279562351	6.36063902658139
"PTS24-1202"	47.0999504833492	5.94380990066491
"PTS26-1202"	47.2487878268112	6.76082288110995
"PTS28-1202"	47.9241398894609	5.54144396725301
"PTS29-1202"	47.6035174386944	5.58570653829718
"PTS30-1202"	47.2491515704717	6.09416508280293
"PTS32-1202"	47.0881852644776	6.74250028039613
"PTS33-1202"	46.0479808412026	7.0930133398993
"PTS34-1202"	46.8684578947136	6.48660334651792
"PTS40-1202"	47.0847884832407	6.37668309170881
"PTS4-1202"	47.0233576273759	6.23285605025255
"PTS43-0205"	31.5110557806427	17.2549867762633
"PTS43-1202"	47.1573498228458	6.23973660436356
"PTS45-1202"	46.4422913270452	7.37121440836898
"PTS5-0205"	23.9629904392274	14.0115396801131
"PTS69-0205"	18.5367447595522	4.8387180228087
