"tSNE_1"	"tSNE_2"
"PTH13"	40.6467938897905	11.6302442226456
"PTH1"	41.3750921091184	11.3711829076315
"PTH20"	28.1421312229278	6.52259749710869
"PTH26"	40.2810329579351	11.6125057532607
"PTH5"	42.0068515371287	11.4991374205255
"PTH8"	39.639116289953	12.1503194291355
"TTH22"	42.5210975064658	11.8190925861092
"TTH28"	42.4156364023243	11.8644790643827
"TTH2"	42.6475425433949	12.3041040319523
"TTH37"	41.2223122296267	13.8214989243333
"TTH48"	41.1052701079776	12.8956098103393
"TTH4"	41.4899193142425	12.5474993459707
"PTH44"	-2.48831569939645	0.787662203567492
"TTH11"	41.7297631550293	11.3347962961548
"TTH15"	40.063581424894	12.175662607808
"TTH17"	42.8517932299891	12.1979040835964
"TTH26"	43.3989719000646	12.9156764471041
"TTH31"	41.339185776562	14.5441331635914
"TTH39"	42.6522022276971	11.7928255322475
"TTH43"	42.8530560855415	11.7739946489612
"TTH45"	40.2078772601908	12.7393473737846
"TTH8"	43.110433840295	12.4648271719701
"PTC141-0205"	-12.1286578189663	-2.97601938100612
"PTC142-0205"	-28.2840292492479	-10.3109135181386
"PTC143-0205"	4.92303970925599	23.7239755766977
"PTC144-0205"	-30.9790679871843	-13.2528707002012
"PTC16-0205"	-20.6246116803025	12.0699260711365
"PTC23-0205"	-23.4393811749005	-15.3599685535799
"TTC100-0205"	-5.09759436719431	-19.3403124334235
"TTC10-0205"	-5.98738646228007	-22.4866255768939
"TTC2-0205"	0.924222405787877	-8.38154742063029
"TTC97-0205"	-13.7468808239585	11.097690366515
"TTC98-0205"	0.953112751476409	-7.78119607040041
"TTC99-0205"	-9.42330902548779	-13.7417496725001
"PTC10-0205"	-18.5502301045493	-12.4424685381242
"PTC10-1202"	39.2054798497616	12.4756815409275
"PTC11-0205"	-14.6421270880795	-8.11999022941413
"PTC1-1202"	37.7066388825353	11.4688627794476
"PTC12-1202"	33.7345976754395	10.7274937389183
"PTC13-1202"	32.8330210854579	10.0950743525236
"PTC14-1202"	38.468990945825	11.8527223175806
"PTC17-0205"	-11.9998104048698	-7.07630642225817
"PTC17-1202"	39.098841443134	12.0032279002664
"PTC18-1202"	37.9697320859485	11.7200899220205
"PTC19-1202"	39.9973309293694	11.7763102048617
"PTC20-1202"	37.3324889917745	11.2838682152364
"PTC21-1202"	38.8377076111659	11.8177611380329
"PTC2-1202"	37.7927006909264	11.7773379784621
"PTC22-1202"	37.2555946775845	11.2250244944559
"PTC23-1202"	37.2263077791395	11.2305727179765
"PTC24-0205"	-4.64766821394825	-3.8011077024286
"PTC24-1202"	33.8909378077923	9.08473979905164
"PTC25-0205"	-3.37586799888712	-4.08074262111376
"PTC26-0205"	29.4753937003164	8.68862632107769
"PTC27-0205"	-20.26330474077	-14.1862244644911
"PTC29-0205"	-4.19495186843402	-3.79492533354321
"PTC3-0205"	-15.4366192061341	-8.98555440615859
"PTC34-0205"	28.3554811548369	7.03349988660121
"PTC35-1202"	39.4990941775206	11.8019567812966
"PTC38-0205"	-18.4956460907036	-11.7178520612885
"PTC38-1202"	33.8637225350691	8.96264697421998
"PTC40-1202"	11.1046736380851	11.8019682944576
"PTC4-0205"	-15.8278489153974	-11.9890511003238
"PTC4-1202"	38.6089488224088	11.9198039213424
"PTC5-0205"	-23.0255699805407	-16.3661707629606
"PTC5-1202"	37.4772545383087	11.4254989714564
"PTC6-0205"	-11.7998625645378	-6.93911655902253
"PTC6-1202"	37.6793364480603	11.4473689048542
"PTC7-1202"	37.4562617737443	11.3547272788091
"PTC8-0205"	-4.56922886518985	-4.21604144618112
"PTC8-1202"	28.6583650457821	6.90228716502679
"PTC9-0205"	-12.6597023828965	-8.76542705266777
"PTC9-1202"	40.5165870589101	11.5760241187892
"PTH1-0205"	29.5872694780062	11.4453669784752
"PTH61-0205"	16.1518967830792	6.14679604508502
