"tSNE_1"	"tSNE_2"
"PTH13"	55.9041397883686	8.55766615471136
"PTH1"	59.2828026195654	8.01795026049056
"PTH20"	27.3222714747713	11.9493020558442
"PTH26"	55.0829881497792	8.43945761551135
"PTH5"	59.9516658064116	7.42658250953099
"PTH8"	53.7213110624106	6.98356025642583
"TTH22"	60.7699465779638	6.41318237206605
"TTH28"	60.6119712063349	6.4747961280221
"TTH2"	60.6402694737117	6.15991886346344
"TTH37"	55.5942160703656	2.7280881479988
"TTH48"	56.4840955419016	4.02608601171858
"TTH4"	57.4188456979395	4.16934731249465
"PTH44"	-8.08745804868152	-21.9781066573636
"TTH11"	59.5814865736417	7.84961112188236
"TTH15"	53.9389068415272	6.93573466791903
"TTH17"	61.0307786750452	5.60740006470223
"TTH26"	63.1316129601176	1.25533242362395
"TTH31"	55.4651584635025	1.97678579902805
"TTH39"	60.9690380037891	6.2886333816668
"TTH43"	61.1843399959266	6.21843107196067
"TTH45"	54.8162581606418	4.89759841034829
"TTH8"	61.2291636801387	4.74560715513274
"PTC141-0205"	-25.3572252220694	-23.2730093240643
"PTC142-0205"	-55.9099633255133	-11.6698940379918
"PTC143-0205"	6.5923847627081	44.9850064633764
"PTC144-0205"	-63.8365259222261	-13.9102497351283
"PTC16-0205"	-23.407445623171	18.3038512365594
"PTC23-0205"	-45.6590148403749	-26.7720811411447
"TTC100-0205"	2.36275131152916	-44.37739319254
"TTC10-0205"	-5.20950480428711	-61.0362031155694
"TTC2-0205"	0.97636775210617	-30.8180248227509
"TTC97-0205"	-10.3199917632722	8.60903235338284
"TTC98-0205"	0.372454829853097	-31.9404650648632
"TTC99-0205"	-32.5647004633208	-19.446971499285
"PTC10-0205"	-33.5299848470819	-31.7475042911182
"PTC10-1202"	51.5905411912817	6.77750549627969
"PTC11-0205"	-21.0701550115678	-34.9412023605234
"PTC1-1202"	49.8858558385333	8.20386979066597
"PTC12-1202"	48.9596383527962	11.1470112720679
"PTC13-1202"	47.1843271141725	12.0385515081243
"PTC14-1202"	50.3003891501083	9.80080099719329
"PTC17-0205"	-17.0144142236145	-29.9596526338584
"PTC17-1202"	51.5361958961983	6.97571107343344
"PTC18-1202"	50.028638401423	8.69108276684396
"PTC19-1202"	54.1276788293917	8.27039868244008
"PTC20-1202"	49.4958687051353	7.53658274120245
"PTC21-1202"	51.4119199204735	7.0851907882597
"PTC2-1202"	50.0416381752985	8.94991926748587
"PTC22-1202"	49.3943254417618	7.40982679051198
"PTC23-1202"	49.411852687373	7.50748232230206
"PTC24-0205"	-6.99612768870523	-25.2857775067963
"PTC24-1202"	45.9967913497979	9.97486304605462
"PTC25-0205"	-5.20054316644027	-26.8992089315113
"PTC26-0205"	38.9849959801846	16.3147724507617
"PTC27-0205"	-39.2342267905601	-32.5025292533428
"PTC29-0205"	-5.72030931172032	-25.7204571453914
"PTC3-0205"	-22.7643428660005	-35.8150155232897
"PTC34-0205"	28.7067026753823	12.2211120305809
"PTC35-1202"	53.4530609051881	8.12555473954085
"PTC38-0205"	-35.4329929106018	-32.7716759965383
"PTC38-1202"	45.9392389705469	9.96329745014949
"PTC40-1202"	9.17966554063028	11.2901694101971
"PTC4-0205"	-29.2396011221327	-33.7182696779352
"PTC4-1202"	50.3846615879745	9.81550521097619
"PTC5-0205"	-45.0061208916717	-29.8878362853929
"PTC5-1202"	49.7955602476776	8.27913912889305
"PTC6-0205"	-17.5313983159228	-30.1304615145914
"PTC6-1202"	49.7976017234442	7.81335195999029
"PTC7-1202"	49.5617119544226	7.5643813707021
"PTC8-0205"	-6.00718903644306	-26.0841469941084
"PTC8-1202"	28.0400859445945	11.9060746106232
"PTC9-0205"	-14.9161827640044	-29.8659520264406
"PTC9-1202"	55.4891424111116	8.94795913219143
"PTH1-0205"	40.8286670732219	26.3173065567909
"PTH61-0205"	15.6974402499017	14.8654521258987
"PTH7-0205"	26.2279814358024	29.4469790675774
"PTH8-0205"	26.214315766894	28.8545427310076
"PTH82-0205"	-10.0850925315406	28.8960547561719
"PTH9-0205"	25.2720821198844	30.2139077852564
"PTS1-0205"	42.5366130809465	33.273842875735
"PTS13-0205"	28.6035554773654	34.0585220068999
"PTS22-1202"	55.992894039089	8.36742566672673
"PTS24-1202"	55.7883246373765	8.97286086392668
"PTS26-1202"	55.8867568561103	7.53191065290522
"PTS28-1202"	59.0324437020188	8.07908631322591
"PTS29-1202"	58.8172902222089	8.20859038188884
"PTS30-1202"	56.4531489508858	8.40334687826733
"PTS32-1202"	55.873353228172	7.64881418843952
"PTS33-1202"	53.413141974628	7.97837825332064
"PTS34-1202"	55.7894766611055	8.20851846965525
"PTS40-1202"	56.0953429064917	8.20465710484387
"PTS4-1202"	56.0437644124901	8.43672155735536
"PTS43-0205"	35.0272666464778	34.2678806593511
"PTS43-1202"	56.161660865849	8.26104885271396
"PTS45-1202"	53.770404956195	6.87689266807453
"PTS5-0205"	25.3366576130655	26.6574618407507
"PTS69-0205"	21.9767834241613	11.9264499909177
"PTS8-0205"	41.8033514911133	31.6105539296662
"TTC11-1202"	64.2037317410388	0.414013084288714
"TTC1-1202"	59.7781271704563	-3.73741948538452
"TTC14-1202"	62.3506745265045	-1.67332040881396
"TTC15-0205"	-4.51517235118636	-43.2118543573638
"TTC16-1202"	61.9266373981451	-2.67560888239787
"TTC17-1202"	59.7787264226061	-3.73027959046214
"TTC19-1202"	-1.65563866431721	-24.2705574637973
"TTC20-1202"	54.7935667698271	0.634152831328791
"TTC22-1202"	64.2578171507142	0.324105725672271
"TTC23-1202"	64.1522562636651	-0.549927313720599
"TTC25-1202"	62.9817774321725	-3.02447711941839
"TTC26-1202"	62.5698184739005	-1.88877251377884
"TTC27-0205"	-7.22021733035661	-43.7333091500146
"TTC28-0205"	-10.6893281167152	-35.5660343017862
"TTC28-1202"	63.2813126079306	0.905148580397221
"TTC31-1202"	63.115554407618	-3.23297911879349
"TTC3-1202"	61.7451680979418	-1.5351600267637
"TTC32-1202"	62.5999592585421	-3.16412631868149
"TTC33-1202"	62.4321795839742	-2.37643154537942
"TTC34-1202"	62.4124009892406	-1.42237280976519
"TTC35-0205"	-5.9734129869411	-63.3512291800397
"TTC35-1202"	64.4376273282462	-1.07265696704975
"TTC36-0205"	9.91881544871372	-17.5752190097496
"TTC36-1202"	62.5737145665468	-2.50539361726626
"TTC37-0205"	9.78882799021721	-17.5341107932613
"TTC37-1202"	54.7270189953619	0.813322346846846
"TTC39-1202"	61.6729907950236	-2.4992636830712
"TTC40-1202"	63.5340976782542	-2.45880977950013
"TTC41-1202"	64.2558188459972	-0.40570021984357
"TTC42-1202"	58.4101437402684	4.36013446393648
"TTC43-1202"	63.073340384445	-2.17895381970957
"TTC44-1202"	59.1673225893585	-1.54128082695303
"TTC45-1202"	63.4583685061729	-2.5309736270163
"TTC46-1202"	62.5884704294084	-1.84161781472763
"TTC47-1202"	64.3097921961172	-0.528384476943886
"TTC48-1202"	62.5227011291561	-3.55804438893975
"TTC6-1202"	61.9407944179791	-1.86689332414495
"TTH11-0205"	14.3019247969395	-8.36650197131956
"TTH19"	58.3742371257295	4.52313739804439
"TTH30-0205"	13.6674500905676	-10.2940787691663
"TTH38-0205"	17.3877933434603	-2.2545831123885
"TTH66-0205"	13.2323943040985	-10.1192034913241
"TTH8-0205"	15.1264291693192	-2.22917097682385
"TTH91-0205"	16.523563791328	4.94954877436358
"TTS10-0205"	50.5604657111096	-23.5060554773684
"TTS1-0205"	34.2013367872119	-6.9023251657031
"TTS11-1202"	59.3310351640708	0.874197573055092
"TTS1-1202"	24.1388745618329	7.37300892636002
"TTS12-1202"	58.8877298252014	-1.4020325427213
"TTS13-1202"	56.0177311491537	1.67642511671302
"TTS14-1202"	58.5919879184042	4.24343716171467
"TTS15-1202"	55.1779152770909	3.09762181857377
"TTS17-1202"	57.6839356690953	0.261359429573313
"TTS18-1202"	58.9660017525477	0.528625023328074
"TTS19-1202"	60.3217172358685	3.86088400208701
"TTS20-1202"	56.5947807735	3.37826432027497
"TTS2-0205"	47.6212686554053	-26.4790002917467
"TTS21-1202"	58.6195788962746	-1.78123703516268
"TTS22-0205"	49.7800619106559	-14.958702795382
"TTS22-1202"	59.2012151541891	0.942887048826252
"TTS24-1202"	58.9665835157637	0.639616606830851
"TTS25-1202"	60.1467205328286	3.69331714099014
"TTS26-1202"	58.8825363455569	0.430258591621288
"TTS28-1202"	59.0587326648208	0.669957771266008
"TTS29-1202"	59.7306282487086	3.1460886115933
"TTS31-1202"	58.8371744542134	-1.42737702908371
"TTS3-1202"	55.1867978515855	2.84531874464485
"TTS32-1202"	59.0871855691207	3.85595973981192
"TTS33-1202"	59.9647610313262	3.24192430128475
"TTS34-1202"	59.8776987673659	3.13411346579089
"TTS35-1202"	60.5371332633718	6.5516831613702
"TTS36-1202"	54.941313617864	4.79812000191618
"TTS38-1202"	55.6720717869488	1.95998999081207
"TTS39-1202"	56.2933713660047	-0.425690025745307
"TTS40-1202"	55.1647889603743	4.51907239825862
"TTS4-0205"	44.3794062407984	-21.6980688169005
"TTS41-1202"	59.2156110006566	-0.240642177952569
"TTS4-1202"	57.4838312727262	0.177431630213464
"TTS42-1202"	57.2672285910139	4.19052074968677
"TTS43-1202"	60.208137486231	3.08602028294415
"TTS44-1202"	56.3253988975572	-0.338915641212966
"TTS45-1202"	56.5821921888085	3.56663945981239
"TTS46-1202"	59.6214722591096	3.0860527575273
"TTS47-1202"	57.9388956276592	3.65319419975806
"TTS48-1202"	59.0371139032397	0.667808361897989
"TTS5-1202"	56.8372173267615	3.48131242693438
"TTS6-0205"	45.5952167314192	-27.495056985702
"TTS7-1202"	55.1825078988926	2.28656631389776
"TTS8-1202"	54.918962822362	3.31198563612551
"NTC2-10-0508"	-4.09946142576099	-37.8054967625791
"NTC2-1-0508"	-37.9381667936487	-36.5339405010176
"NTC2-11-0508"	0.0586074128351791	-32.0815144045093
"NTC2-12-0508"	-7.83034900893187	-39.1805861926703
"NTC2-14-0508"	-37.1400028040327	-35.4583832037056
"NTC2-15-0508"	57.835798563769	20.8569537159058
"NTC2-16-0508"	7.84408898454305	-16.3298261167367
"NTC2-17-0508"	0.308850449333164	-32.0048790943956
"NTC2-18-0508"	-7.43390055729081	-43.6386853243509
"NTC2-19-0508"	-1.38335720040901	-14.0519731868191
"NTC2-20-0508"	-5.97278334458027	-38.3665171307677
"NTC2-2-0508"	7.87918451656889	-10.1032593583374
"NTC2-21-0508"	-1.15862768730764	-13.409317368813
"NTC2-22-0508"	7.65589255271071	-17.7650688575284
"NTC2-23-0508"	-2.88372963897414	-17.8031514187713
"NTC2-24-0508"	-13.3434948771084	-45.1899666925672
"NTC2-25-0508"	10.4740319067057	-13.6436671646114
