GeneName	tSNE_1	tSNE_2	x	SELL_Opacity	SELL_Expr	SELL_Color
PTR99-0407	-7.68676543585654	28.5926098810528	0	0.10018309512035327	0.745238937410365	#ffffff
TTR165-1116	16.3509556569483	-17.7980332323532	8	0.36064716651376383	1060.89346912669	#ffb6b6
NTC98-0322	-27.4322653604654	16.0503680652175	5	0.1	0.0	#ffffff
TTR111-0508	27.9768444222933	-8.37569786063142	4	0.10025353761152202	1.03195595731702	#ffffff
TTC35-0205	0.642506007769389	-41.4455182928707	7	0.1	0.0	#ffffff
NTH107-0407	-32.123336478881	9.15574111125714	0	0.1	0.0	#ffffff
TTR167-0322	28.1381825563995	-20.2611887726669	8	0.1	0.0	#ffffff
PTH3-46-0508	26.7553428730492	21.9165134408347	3	0.6021853721836342	2044.0091053606	#ff7171
JTS-89-0508	10.0011188836358	3.02167587915997	6	0.1	0.0	#ffffff
TTR81-1116	41.397372707937	-14.1779897102888	4	0.5070946534654813	1656.96817254722	#ff8c8c
TTS1-85-0508	30.3736768643209	-5.3429103687849	4	0.1	0.0	#ffffff
TTC23-1202	50.8796793031433	7.65966341453651	10	0.24525242483344467	591.210527786342	#ffd6d6
JTS-46-0508	37.9178191170739	-3.64396624743203	4	0.6100805047249027	2076.14409713109	#ff6f6f
TTR136-0508	22.9395400299896	1.41520683476762	4	0.2369862995762657	557.565510970626	#ffd9d9
NTC2-31-0508	5.65664227509613	-9.55925598671844	5	0.1	0.0	#ffffff
PTC2-27-0508	-15.0607060935956	-22.541409107919	2	0.1	0.0	#ffffff
PTS3-28-0508	28.0971697996033	22.3092805929409	3	0.4715811520891038	1512.4201148033	#ff9696
PTH1	44.2693563452045	9.57494112162428	10	0.7707922725786176	2730.27768012098	#ff4141
PTC16-0508	26.4590804854778	19.4628700147607	3	1.0	4763.26188934234	#ff0000
PTH82-0205	-20.0520224433548	9.33062528492921	0	0.1	0.0	#ffffff
TTR88-1116	15.3267677077582	-31.2268643689852	0	0.10015237188186693	0.620188343166336	#ffffff
PTC177-0322	-10.688603615334	-2.31256324447038	5	0.1	0.0	#ffffff
PTH8	43.9292228673597	12.9954769496898	10	0.17389131776323996	300.75453145602	#ffebeb
PTH5	45.003358493639	8.77743954770372	10	0.14174949297804837	169.929967135949	#fff4f4
PTH3-64-0508	25.9870175328504	27.1534040640501	3	1.0	6450.6915029251	#ff0000
TTH17-0407	-19.9713918695916	19.8449693867007	0	0.100110798920696	0.45097690078462	#ffffff
TTH138-0508	41.7565972796563	-5.30659685216406	4	0.1	0.0	#ffffff
NTH88-1116	-29.5958566687063	11.1744348736451	0	0.10062404079346421	2.53998848753972	#ffffff
PTH160-0322	3.75956381506494	44.641624815334	1	1.0	7109.45075188665	#ff0000
PTH79-0407	-4.07894243158208	42.1006401140294	1	1.0	9952.77288931514	#ff0000
TTH131-0508	21.7780676794447	-2.42229032770185	4	0.1	0.0	#ffffff
TTC78-0322	-28.448736418427	-11.6618320979081	0	0.1	0.0	#ffffff
NTC2-9-0508	-6.75227536548837	-15.3437760812796	2	0.6474665210782177	2228.31371829519	#ff6464
NTH2-15-0508	27.8300500492512	-4.33623412700621	4	0.28459159274699575	751.329921672639	#ffcbcb
NTR83-1116	-16.8907880524822	18.2567537828628	0	0.10035269572417722	1.43555211197264	#ffffff
