GeneName	tSNE_1	tSNE_2	x	CD8A_Opacity	CD8A_Expr	CD8A_Color
TTC105-1116	36.0185807627707	-36.1172841869877	9	0.9790255877034351	2508.37201958688	#ff0606
NTH70-1116	-18.3304148437381	16.3144142053397	0	0.1	0.0	#ffffff
PTC103-0322	-37.0387907229235	-6.50624870680238	0	0.2828703098316449	521.835512881156	#ffcccc
PTC53-0205	-24.9455417467813	21.0982006049084	5	0.1	0.0	#ffffff
TTC2-0407	-38.3987731237421	-28.0202728605148	2	0.44958191075720644	997.560817072524	#ff9c9c
TTC32-0322	-37.0648417858072	11.113582324272	5	0.2666296746175547	475.491520713905	#ffd0d0
PTR93-0407	2.59928344724214	37.5278549977693	1	0.10028109575774917	0.802129930488951	#ffffff
TTH26-0322	-22.3496399021845	21.5694049150799	0	0.1	0.0	#ffffff
PTH179-0322	-28.1408822386314	1.49031785521249	0	0.1	0.0	#ffffff
TTC92-0322	-38.2451889267001	15.7083453639813	5	0.21221751840560768	320.221944860004	#ffe0e0
NTC2-8-0508	-0.48565884726914	-25.0192709326084	7	0.48724359957782126	1105.03155258869	#ff9292
TTC115-0205	1.16168358748936	-28.3790536295233	7	0.47847810370351973	1080.01848710291	#ff9494
TTC138-1116	-22.862054342358	-14.9617352127408	0	0.5127080648778287	1177.69650471956	#ff8b8b
PTC136-0322	-38.9912211640031	-3.34221929542056	0	0.5768060260084865	1360.60532382774	#ff7878
NTC2-95-0508	0.75764715382694	-28.7481770168256	7	0.8863899128389046	2244.02848044962	#ff2121
TTH125-0205	9.50685644207746	0.329642092656559	6	0.1	0.0	#ffffff
PTC2-74-0508	-26.9253308295981	-32.3926953165304	2	0.20802502456991467	308.258317888441	#ffe1e1
TTR76-0322	22.531987386404	-22.4117744032981	8	0.1	0.0	#ffffff
TTS99-0205	39.9141549879303	-7.80404382882277	4	0.1	0.0	#ffffff
TTC11-0205	-10.6623946409537	2.68780485830981	0	0.16214090038498535	177.324184845255	#ffeeee
JTC-57-0508	-3.37588320199182	-28.1450455937562	7	0.35915987703321395	739.534085518578	#ffb6b6
PTC27-0407	-10.8080621833028	-10.5987628732051	2	0.3108860261507712	601.780670231102	#ffc4c4
PTH43-0407	-8.37261901486974	40.6761751572075	1	0.1	0.0	#ffffff
TTH1-76-0508	-12.3285267046267	-14.5969521749254	2	0.1	0.0	#ffffff
NTR31-0407	-6.47262621821339	28.4526232794486	0	0.1	0.0	#ffffff
PTH7-0205	23.0329226206286	25.4333473396029	3	0.1	0.0	#ffffff
PTH35-0322	-16.4903009500449	-3.30933998547065	0	0.1	0.0	#ffffff
PTS113-0205	11.9554190423534	12.9557353881121	3	0.1	0.0	#ffffff
TTC66-0508	-3.76520875793597	-30.6398435578249	7	0.5369231839447769	1246.79634432399	#ff8484
TTC14-1116	9.32004921786444	-37.7098058414991	11	0.9936690062259513	2550.15822218076	#ff0202
NTC38-0407	-27.9030216704868	-29.6378731958626	2	0.4663304876816956	1045.35426280719	#ff9898
TTH9--0205	13.3673233353881	6.43313948080223	6	0.1	0.0	#ffffff
TTH107-0508	-26.5887569104605	-30.729926538476	2	0.1	0.0	#ffffff
PTH50-0407	4.17735191129419	23.4649615249651	1	0.1	0.0	#ffffff
PTC118-1116	-41.9264966820102	-24.6930417589321	2	0.6240206734865276	1495.33621483399	#ff6b6b
TTR127-0508	38.1246053940432	-8.36279261349983	4	0.1	0.0	#ffffff
PTS33-1202	43.356299070558	12.9293246573579	10	0.1	0.0	#ffffff
JTS-15-0508	39.7557348366316	-10.167539455905	4	0.1	0.0	#ffffff
PTC15-0508	-6.31136088395398	-11.2046090842553	5	0.2932503656286548	551.455858280879	#ffc9c9
NTC101-0407	-37.3041531339714	-9.1884516074609	0	0.6460369031465979	1558.16134214388	#ff6565
JTS-22-0508	39.9690937747861	-7.4109484699897	4	0.1	0.0	#ffffff
PTR8-0322	-9.59421735270338	38.5276041969255	1	0.1	0.0	#ffffff
PTS88-0205	17.9510337591198	25.4294111548184	3	0.1	0.0	#ffffff
TTH1-16-0508	-11.8245724961987	-18.3106404743262	2	0.1	0.0	#ffffff
TTC18-0407	-42.2486662260231	-26.1475110226094	2	0.8337546501056547	2093.82941670151	#ff3030
NTC46-0508	1.34382672672148	-6.78453694268205	5	0.3357371080892964	672.695282345998	#ffbdbd
PTS3-93-0508	32.1752744465546	25.6459269976449	3	0.1	0.0	#ffffff
PTH13	43.7745634231379	11.1862179074917	10	0.1	0.0	#ffffff
TTH50-1116	30.3603445005249	-37.8174019441477	9	0.10026028847288819	0.742754626881229	#ffffff
TTS1-68-0508	30.0244822807612	5.40645309587409	4	0.1	0.0	#ffffff
TTH1-1116	-16.9919854807025	16.9185299480003	0	0.10170806021034157	4.87409069693193	#ffffff
NTC179-0322	-14.0880050999139	2.77227694155707	5	0.4319492525856381	947.244572577234	#ffa1a1
TTC145-1116	-25.2430264961139	-12.9222298080066	0	1.0	2794.09922904947	#ff0000
TTH5-0407	-30.7928447409728	14.0721199837905	0	0.1	0.0	#ffffff
TTH114-0508	18.8110780342782	-35.3977537904884	0	0.1	0.0	#ffffff
NTH151-0407	-24.9241890510336	3.81639885261316	0	0.10056053285418938	1.5995267341207	#ffffff
PTS3-20-0508	12.4528255617859	11.9632210331896	3	0.1	0.0	#ffffff
PTC2-1202	41.5288166955027	15.2848607199656	10	0.1	0.0	#ffffff
TTC22-1202	50.1828854357233	7.44353510857567	10	0.5332818595277733	1236.40552475102	#ff8585
TTR100-0322	28.8067289649137	-17.1128085197132	8	0.1	0.0	#ffffff
TTS44-1202	49.5338056385868	12.3905739570811	10	0.1	0.0	#ffffff
PTR78-0322	6.30280581425783	41.7189407622233	1	0.1	0.0	#ffffff
TTS79-0205	36.5330877214671	-15.2909059908537	4	0.1	0.0	#ffffff
PTH138-0205	18.6844053078949	23.5505014875582	3	0.1	0.0	#ffffff
TTH100-0322	11.8673991586689	12.2596527688737	6	0.1	0.0	#ffffff
PTH15-0322	-37.9177163176565	-7.58109251855094	2	0.1	0.0	#ffffff
TTS24-1202	49.1420124726439	10.3592492166613	10	0.1	0.0	#ffffff
TTC42-1202	46.7642654373267	9.86370583297629	10	0.1303138821164766	86.5031630133602	#fff7f7
PTC2-94-0508	21.1266421724096	11.9438398168834	3	0.14637345118519607	132.330467999833	#fff2f2
