GeneName	tSNE_1	tSNE_2	x	CD44_Opacity	CD44_Expr	CD44_Color
TTS26-0205	39.6584073588394	-16.8393430447809	4	0.25823380995232736	177.2394242655	#ffd3d3
PTC152-0322	-36.2491039580083	-7.2843104181799	0	0.38560901689389937	319.913789186782	#ffafaf
NTH121-0322	-16.5772974175732	23.8845067190594	0	0.11420437637997745	15.9104776178755	#fffbfb
NTC136-1116	27.4927963464528	-39.2385354247433	9	0.29763927798690204	221.37792076928	#ffc8c8
NTR82-0407	-12.5439256686093	2.58236840624729	0	0.333028487789661	261.017762422222	#ffbdbd
PTC40-0205	-17.7578242244813	-21.6021134527347	2	0.19807235481844365	109.851919192363	#ffe4e4
TTR236-0407	-3.12448025469793	25.1490848333277	1	0.499554577148714	447.545459708131	#ff8e8e
TTS1-28-0508	37.9413156009497	-5.40005231678955	4	0.520612845043339	471.133056308355	#ff8888
TTC14-0322	-29.8541758505374	-3.88579344806602	0	0.550107995356788	504.170897347227	#ff8080
TTC106-1116	-30.2960137665339	-6.85236776818647	0	0.44939562272634836	391.361865277472	#ff9d9d
TTC105-0407	3.43905878519312	-11.6897766059674	5	0.18757948058944834	98.098735800029	#ffe7e7
TTH86-1116	-4.34142188578947	26.6726967441636	0	0.29813661219470244	221.934990264634	#ffc7c7
JTC-9-0508	-9.11359562224945	-25.1081358917353	7	0.40618728246724367	342.963729927645	#ffa9a9
PTH15-0407	-8.45088636628343	41.9511548932823	1	0.21129882861892277	124.667037416249	#ffe0e0
PTR92-0407	-10.7614513856508	25.1637845780005	0	0.20146378767844564	113.650700298139	#ffe3e3
TTS109-0205	40.4899481035607	-15.9564383561046	4	0.444413321157792	385.781134700397	#ff9e9e
PTC123-0205	-13.7762348345381	-17.844287195093	2	0.1	0.0	#ffffff
TTR58-0322	25.1514287829206	-15.1046012372477	8	0.6401824881000612	605.064323598131	#ff6666
TTH141-0322	-7.58367057550223	-5.95889022889765	6	0.12259143357546345	25.3049122779372	#fff9f9
TTH56-0322	-31.472456640267	17.4099172039449	0	0.14601441773289256	51.5412534738764	#fff2f2
JTH-49-0508	12.073234045635	12.3574328063131	3	0.5857077801310395	544.046606332968	#ff7676
PTR18-1116	6.83464122985613	29.9249893988091	1	0.10172618934670437	1.93352360077342	#ffffff
JTC-52-0508	0.654785731522388	-17.7993768040651	7	0.10329645773092713	3.69239842307474	#ffffff
PTS135-0205	35.0132823668466	22.2142395466615	3	0.37372940715820224	306.607308159193	#ffb2b2
TTH1-39-0508	-23.058314920916	-23.4682253209991	2	0.18358107441107108	93.6200772298491	#ffe8e8
PTH16-1116	-37.3519189407797	-10.3194019415587	2	0.47166681560515844	416.308072442271	#ff9696
TTH156-0508	28.9880843935798	-7.2136704898896	4	0.2927136913322216	215.860717188652	#ffc9c9
JTS-64-0508	-0.385616083672422	-0.309020603736291	6	0.6354010084185252	599.708535817075	#ff6868
NTC156-0322	-38.9971364884461	11.2656200867	5	0.1587975222803863	65.8597489395805	#ffefef
PTC97-0205	-13.4189231329909	-16.6844440656548	2	0.10165115903957067	1.8494813316601	#ffffff
PTC132-1116	-40.1557646265756	-27.3854666842556	2	0.1138842296354448	15.5518777415372	#fffcfc
TTR38-1116	31.9646408333828	-37.5433599870256	9	0.10186995751500245	2.0945599013247	#ffffff
NTC95-0407	-40.4098615448284	7.97350239697321	5	0.5990593231811051	559.001815993676	#ff7272
TTC2-51-0508	2.16899969991061	-17.5470279795605	7	0.1984205175462268	110.241900078506	#ffe4e4
TTC29-0508	-3.13587246408841	-41.2443544499897	7	0.2897736013055622	212.567490135781	#ffcaca
PTH36-0322	4.04654030741399	33.1029034335953	0	0.7904152966592705	773.341738537742	#ff3c3c
PTC189-1116	-40.4468031349693	-16.806642004505	2	0.10071762839573273	0.803823428978695	#ffffff
PTC9-0508	36.4306084615003	17.6973789397372	3	0.1	0.0	#ffffff
TTR164-0407	-11.7676780644033	1.96699224194022	0	0.43032199981938657	369.997291273309	#ffa2a2
TTC22-0508	-3.31509642116664	-39.9306274489482	7	0.1003414412212691	0.382452053050334	#ffffff
NTH171-0322	-11.9559900623643	23.052036096623	0	0.5289722404431322	480.496506687976	#ff8686
TTS1-78-0508	32.6081348861267	-0.178623306042196	4	0.28922949029347966	211.958025429426	#ffcaca
PTR42-0407	-20.0847276016944	21.1375919023873	0	0.11966100647682434	22.0225087766166	#fffafa
PTS1-2-0508	17.4823561521526	27.3119101131636	3	0.2213669989183444	135.944505283667	#ffdddd
TTH77-0205	11.142777625517	2.80281708080254	6	0.2893362872088153	212.077649824447	#ffcaca
TTR139-0407	-15.6300602002205	6.51068533037086	0	0.28317816301997134	205.179867447122	#ffcccc
TTH85-0407	-30.1137925303072	-3.66815528444834	0	0.6209379851164817	583.508344947848	#ff6c6c
TTR185-0322	30.2450755636411	-22.7799773733668	8	0.18699454234234464	97.4435400603905	#ffe7e7
TTC10-0205	-0.914848492524664	-40.8832575560981	7	0.8503573860256826	840.483529611185	#ff2b2b
TTC64-0322	6.81658395203551	-32.168814767106	11	0.1	0.0	#ffffff
NTH178-0322	-37.2434862549107	-6.78026422548511	2	0.6435547851188389	608.841670438484	#ff6565
TTR143-0508	35.829508339178	-9.17530058371183	4	0.15319962325283598	59.5894809037016	#fff0f0
NTR32-0407	-20.7372596356098	20.3965903652535	0	0.6132120305614174	574.854418598899	#ff6e6e
PTH65-0407	0.451000078790337	43.8022053146715	1	0.10099501857397758	1.11453120694241	#ffffff
TTH120-0407	-27.3587850957311	2.86181762647417	0	0.34030178186391846	269.164658806904	#ffbbbb
