GeneName	tSNE_1	tSNE_2	x	TIGIT_Opacity	TIGIT_Expr	TIGIT_Color
TTS26-0205	39.6584073588394	-16.8393430447809	4	0.4342193930603533	586.066235569523	#ffa1a1
PTC152-0322	-36.2491039580083	-7.2843104181799	0	0.17480950573019238	131.181272895775	#ffeaea
NTH121-0322	-16.5772974175732	23.8845067190594	0	0.1	0.0	#ffffff
NTC136-1116	27.4927963464528	-39.2385354247433	9	0.10054392744192456	0.953797161178246	#ffffff
NTR82-0407	-12.5439256686093	2.58236840624729	0	0.10033279880383741	0.583575179109396	#ffffff
PTC40-0205	-17.7578242244813	-21.6021134527347	2	0.1	0.0	#ffffff
TTR236-0407	-3.12448025469793	25.1490848333277	1	0.14814784344946652	84.4290485445409	#fff2f2
TTS1-28-0508	37.9413156009497	-5.40005231678955	4	0.7217821768665317	1090.31835766211	#ff4f4f
TTC14-0322	-29.8541758505374	-3.88579344806602	0	0.6197296750022459	911.365469709096	#ff6c6c
TTC106-1116	-30.2960137665339	-6.85236776818647	0	0.1009147650010913	1.60407472382523	#ffffff
TTC105-0407	3.43905878519312	-11.6897766059674	5	0.10055371626186611	0.970962223927247	#ffffff
TTH86-1116	-4.34142188578947	26.6726967441636	0	0.7705834790343464	1175.89327056735	#ff4242
JTC-9-0508	-9.11359562224945	-25.1081358917353	7	0.1	0.0	#ffffff
PTH15-0407	-8.45088636628343	41.9511548932823	1	0.1	0.0	#ffffff
PTR92-0407	-10.7614513856508	25.1637845780005	0	0.1	0.0	#ffffff
TTS109-0205	40.4899481035607	-15.9564383561046	4	0.9027892550349115	1407.72105516035	#ff1c1c
PTC123-0205	-13.7762348345381	-17.844287195093	2	0.1	0.0	#ffffff
TTR58-0322	25.1514287829206	-15.1046012372477	8	0.6865683265556972	1028.56955097975	#ff5959
TTH141-0322	-7.58367057550223	-5.95889022889765	6	0.1	0.0	#ffffff
TTH56-0322	-31.472456640267	17.4099172039449	0	0.1	0.0	#ffffff
JTH-49-0508	12.073234045635	12.3574328063131	3	0.1	0.0	#ffffff
PTR18-1116	6.83464122985613	29.9249893988091	1	0.8248356112431738	1271.02641830036	#ff3232
JTC-52-0508	0.654785731522388	-17.7993768040651	7	0.1	0.0	#ffffff
PTS135-0205	35.0132823668466	22.2142395466615	3	0.1	0.0	#ffffff
TTH1-39-0508	-23.058314920916	-23.4682253209991	2	0.1	0.0	#ffffff
PTH16-1116	-37.3519189407797	-10.3194019415587	2	0.10038918604114391	0.68245231367597	#ffffff
TTH156-0508	28.9880843935798	-7.2136704898896	4	0.26340461044024654	286.536110422911	#ffd1d1
JTS-64-0508	-0.385616083672422	-0.309020603736291	6	0.1	0.0	#ffffff
NTC156-0322	-38.9971364884461	11.2656200867	5	0.1	0.0	#ffffff
PTC97-0205	-13.4189231329909	-16.6844440656548	2	0.2969906983467904	345.430574704763	#ffc8c8
PTC132-1116	-40.1557646265756	-27.3854666842556	2	0.10064958863924012	1.13907803189455	#ffffff
TTR38-1116	31.9646408333828	-37.5433599870256	9	0.23925169610580777	244.1830696481	#ffd8d8
NTC95-0407	-40.4098615448284	7.97350239697321	5	0.1	0.0	#ffffff
TTC2-51-0508	2.16899969991061	-17.5470279795605	7	0.1	0.0	#ffffff
TTC29-0508	-3.13587246408841	-41.2443544499897	7	0.17785991604904594	136.53028174934	#ffe9e9
PTH36-0322	4.04654030741399	33.1029034335953	0	0.20313481274693185	180.850760661417	#ffe2e2
PTC189-1116	-40.4468031349693	-16.806642004505	2	0.10335750175057623	5.88750519190537	#ffffff
PTC9-0508	36.4306084615003	17.6973789397372	3	0.1	0.0	#ffffff
TTR164-0407	-11.7676780644033	1.96699224194022	0	0.1012688399487823	2.22495841882156	#ffffff
TTC22-0508	-3.31509642116664	-39.9306274489482	7	0.14432977953808884	77.7339303372593	#fff3f3
NTH171-0322	-11.9559900623643	23.052036096623	0	0.1	0.0	#ffffff
TTS1-78-0508	32.6081348861267	-0.178623306042196	4	0.665864890024323	992.265298853052	#ff5f5f
PTR42-0407	-20.0847276016944	21.1375919023873	0	0.1	0.0	#ffffff
PTS1-2-0508	17.4823561521526	27.3119101131636	3	0.4620600785093242	634.885921247688	#ff9999
TTH77-0205	11.142777625517	2.80281708080254	6	0.1	0.0	#ffffff
TTR139-0407	-15.6300602002205	6.51068533037086	0	0.1	0.0	#ffffff
TTH85-0407	-30.1137925303072	-3.66815528444834	0	0.20569769417763129	185.344869332214	#ffe2e2
TTR185-0322	30.2450755636411	-22.7799773733668	8	0.7339575715404243	1111.66836867662	#ff4c4c
TTC10-0205	-0.914848492524664	-40.8832575560981	7	0.37508651119435543	482.374510334044	#ffb2b2
TTC64-0322	6.81658395203551	-32.168814767106	11	0.32954483821212155	402.515479408761	#ffbebe
NTH178-0322	-37.2434862549107	-6.78026422548511	2	0.1	0.0	#ffffff
TTR143-0508	35.829508339178	-9.17530058371183	4	0.1810461966526712	142.11754424101	#ffe9e9
NTR32-0407	-20.7372596356098	20.3965903652535	0	0.1	0.0	#ffffff
PTH65-0407	0.451000078790337	43.8022053146715	1	0.1	0.0	#ffffff
TTH120-0407	-27.3587850957311	2.86181762647417	0	0.1	0.0	#ffffff
PTH57-0205	29.5051476823361	28.7857295293634	3	0.1	0.0	#ffffff
PTH5-0407	0.202728483781103	39.9573228118496	1	0.1	0.0	#ffffff
TTH191-0322	-34.7867571691713	-24.1798216327258	2	0.1	0.0	#ffffff
NTH34-0508	1.88499306493276	-3.5402718268507	6	0.1	0.0	#ffffff
