GeneName	tSNE_1	tSNE_2	x	LAYN_Opacity	LAYN_Expr	LAYN_Color
TTH93-0322	-44.3268276902801	-12.5280735070264	2	0.1	0.0	#ffffff
PTH24-0508	13.0999676472699	14.9762329168616	3	0.10316818246589456	1.329464991331	#ffffff
TTH19	46.4420366619083	9.77722916119305	10	0.1	0.0	#ffffff
NTR37-0407	17.0005321999382	-15.7972837421537	8	0.8279818591373185	305.483161549488	#ff3131
TTS73-0205	44.9584551879394	-14.8365925033452	4	0.5339843273513538	182.112923169988	#ff8585
PTC94-0407	-38.087637854576	-20.1159569899912	2	0.1	0.0	#ffffff
NTC98-0407	-41.53240543771	-29.1352999856641	2	0.4401586434203604	142.740834151522	#ff9f9f
TTS1-90-0508	28.4371240840511	-0.134104560086634	4	0.33727567192407404	99.5680338848563	#ffbcbc
TTR167-0407	-12.5019619714104	3.3938394019953	0	0.1	0.0	#ffffff
TTH133-0407	-26.1999671511718	6.76590556604801	0	0.1	0.0	#ffffff
TTS106-0205	35.6821366388866	-11.6526827267472	4	1.0	462.487353825911	#ff0000
PTS3-38-0508	14.8820384451299	26.1042359103223	3	0.1	0.0	#ffffff
NTC119-0322	-40.4700506852389	12.5878559134348	5	0.1	0.0	#ffffff
TTR194-0407	-17.3873689689796	19.9337225936828	0	0.1	0.0	#ffffff
TTH1-70-0508	22.8026776090245	3.35429003337611	4	0.1	0.0	#ffffff
PTR22-1116	2.99606091871691	15.183697798387	1	0.7577867721600928	276.027184280418	#ff4545
