GeneName	tSNE_1	tSNE_2	x
TTS26-0205	39.6584073588394	-16.8393430447809	4
PTC152-0322	-36.2491039580083	-7.2843104181799	0
NTH121-0322	-16.5772974175732	23.8845067190594	0
NTC136-1116	27.4927963464528	-39.2385354247433	9
NTR82-0407	-12.5439256686093	2.58236840624729	0
PTC40-0205	-17.7578242244813	-21.6021134527347	2
TTR236-0407	-3.12448025469793	25.1490848333277	1
TTS1-28-0508	37.9413156009497	-5.40005231678955	4
TTC14-0322	-29.8541758505374	-3.88579344806602	0
TTC106-1116	-30.2960137665339	-6.85236776818647	0
TTC105-0407	3.43905878519312	-11.6897766059674	5
TTH86-1116	-4.34142188578947	26.6726967441636	0
JTC-9-0508	-9.11359562224945	-25.1081358917353	7
PTH15-0407	-8.45088636628343	41.9511548932823	1
PTR92-0407	-10.7614513856508	25.1637845780005	0
TTS109-0205	40.4899481035607	-15.9564383561046	4
PTC123-0205	-13.7762348345381	-17.844287195093	2
TTR58-0322	25.1514287829206	-15.1046012372477	8
TTH141-0322	-7.58367057550223	-5.95889022889765	6
TTH56-0322	-31.472456640267	17.4099172039449	0
JTH-49-0508	12.073234045635	12.3574328063131	3
PTR18-1116	6.83464122985613	29.9249893988091	1
JTC-52-0508	0.654785731522388	-17.7993768040651	7
PTS135-0205	35.0132823668466	22.2142395466615	3
TTH1-39-0508	-23.058314920916	-23.4682253209991	2
PTH16-1116	-37.3519189407797	-10.3194019415587	2
TTH156-0508	28.9880843935798	-7.2136704898896	4
JTS-64-0508	-0.385616083672422	-0.309020603736291	6
NTC156-0322	-38.9971364884461	11.2656200867	5
PTC97-0205	-13.4189231329909	-16.6844440656548	2
PTC132-1116	-40.1557646265756	-27.3854666842556	2
TTR38-1116	31.9646408333828	-37.5433599870256	9
NTC95-0407	-40.4098615448284	7.97350239697321	5
TTC2-51-0508	2.16899969991061	-17.5470279795605	7
TTC29-0508	-3.13587246408841	-41.2443544499897	7
PTH36-0322	4.04654030741399	33.1029034335953	0
PTC189-1116	-40.4468031349693	-16.806642004505	2
PTC9-0508	36.4306084615003	17.6973789397372	3
TTR164-0407	-11.7676780644033	1.96699224194022	0
TTC22-0508	-3.31509642116664	-39.9306274489482	7
NTH171-0322	-11.9559900623643	23.052036096623	0
TTS1-78-0508	32.6081348861267	-0.178623306042196	4
PTR42-0407	-20.0847276016944	21.1375919023873	0
PTS1-2-0508	17.4823561521526	27.3119101131636	3
TTH77-0205	11.142777625517	2.80281708080254	6
TTR139-0407	-15.6300602002205	6.51068533037086	0
TTH85-0407	-30.1137925303072	-3.66815528444834	0
TTR185-0322	30.2450755636411	-22.7799773733668	8
TTC10-0205	-0.914848492524664	-40.8832575560981	7
TTC64-0322	6.81658395203551	-32.168814767106	11
NTH178-0322	-37.2434862549107	-6.78026422548511	2
TTR143-0508	35.829508339178	-9.17530058371183	4
NTR32-0407	-20.7372596356098	20.3965903652535	0
PTH65-0407	0.451000078790337	43.8022053146715	1
TTH120-0407	-27.3587850957311	2.86181762647417	0
PTH57-0205	29.5051476823361	28.7857295293634	3
PTH5-0407	0.202728483781103	39.9573228118496	1
TTH191-0322	-34.7867571691713	-24.1798216327258	2
NTH34-0508	1.88499306493276	-3.5402718268507	6
NTC49-0508	0.759384978828406	-17.9914885632423	5
JTC-2-0508	-2.94065583218995	-26.4642415805567	7
TTR103-0322	19.8074985098404	-16.8349261685047	8
TTC122-0205	2.14062303261081	-29.3780944930668	7
PTC159-0322	-41.2746575101837	-5.75723351080487	0
TTH1-89-0508	25.7093170009007	14.9725937156106	3
NTH100-0407	-7.3060665361488	27.50994096856	0
TTR118-0508	25.695859011989	-10.480802670978	4
TTR114-0407	18.1136054767261	-18.1512178959753	8
TTC176-0322	-16.6645293695449	4.54455541740545	5
PTR6-1116	-9.09755875706566	39.0672605007217	1
PTC182-1116	-40.728354824725	-23.4684444069155	2
NTH157-0407	-28.4968072652953	2.56879220304722	0
TTC79-0508	-3.74897444109527	-38.2684481801375	7
NTC45-0407	-13.2239705483194	1.4921301768249	5
PTC47-0205	6.06218235432883	39.9738351249007	1
PTH3-6-0508	36.2605776711339	23.4929661378152	3
TTH1-32-0508	21.2561923557228	-4.07920704362339	4
NTC106-0322	-37.7735037585262	-23.4256682596953	2
PTC102-0322	2.1139546136393	33.934859576898	1
NTC186-1116	-22.1487083343301	-14.3989835290279	0
PTH9-0508	14.1724414997562	16.3410878765486	3
TTH52-0205	9.36426506414396	-3.78605883420497	6
JTH-42-0508	-17.5968164322958	-24.2398392143356	2
TTR51-0322	23.8014031147931	-25.8344158432964	8
TTR135-0322	27.795669831833	-28.107678192718	8
TTC67-0205	-1.26328734115214	-32.6463763583897	7
PTR67-0407	-1.491515746511	42.5349300365563	1
TTC72-0508	-25.3813118514471	-27.9277174885416	2
PTH32-0205	-12.5166435980782	-5.6561844070669	2
PTR11-1116	-10.5123224944944	40.1230640329534	1
PTC127-0322	-36.5117759702297	7.42768066747491	5
PTH124-0322	-33.6287852474566	-1.84058623611255	2
NTH182-0407	8.16768262033392	4.56387073121478	5
PTR31-0322	-0.806914521335418	17.2671353647356	1
JTC-77-0508	-6.47373296329552	-22.7640217348328	7
PTH3-14-0508	28.2184957652009	21.3768956610768	3
NTC181-0322	1.21827437897225	-9.41242657405471	5
TTS1-53-0508	29.5727036660367	1.87998018081365	4
NTC24-0508	4.08734128076138	-10.5467528642869	5
TTR33-0322	21.0399023766031	-30.707776547098	8
PTC23-0407	-40.9027967823383	-10.2320764475808	0
TTH181-0508	28.2617972561721	-6.10280388726062	4
