GeneName	tSNE_1	tSNE_2	x	FOXP3_Opacity	FOXP3_Expr	FOXP3_Color
TTC107-0407	17.7902321001993	-37.734246943186	9	0.10675158956794585	5.41081963515471	#fffefe
TTC33-0205	-3.86143622766413	-41.8128071361548	7	0.1	0.0	#ffffff
PTH68-1116	-0.737842517787034	39.0634468024427	1	0.144088979417521	35.3335334035767	#fff3f3
PTC21-0407	-30.0558735023903	-25.9229256626367	2	0.1	0.0	#ffffff
JTS-37-0508	39.6923033512049	-13.1363069181151	4	1.0	1155.05127474014	#ff0000
PTH8-1116	39.19988510128	17.9179790607656	3	0.1	0.0	#ffffff
PTR23-0508	35.2886438525994	23.1080693009919	3	0.1	0.0	#ffffff
TTS12-1202	50.1684152490473	11.0179462648864	10	0.1	0.0	#ffffff
NTH109-0407	-21.063183598834	18.5692605819797	0	0.1	0.0	#ffffff
PTC95-0205	-12.34760888924	-14.731827757435	2	0.1	0.0	#ffffff
TTR86-1116	29.7303402313212	-20.096213263598	8	0.5252883446202594	340.832111092598	#ff8787
TTR234-0407	15.6470835318951	-16.0493246099623	8	0.4135481724531368	251.281952346591	#ffa7a7
TTH59-1116	-14.678433718985	12.6859068462071	0	0.10091200013377236	0.730889841779959	#ffffff
TTH158-0508	28.3386263922198	-4.29065324428385	4	0.3756994623922695	220.949459308966	#ffb1b1
TTR187-0407	-14.4836881770487	-4.85680934936883	6	0.1	0.0	#ffffff
PTC8-1202	23.5666385478866	12.8806906273316	3	0.1	0.0	#ffffff
PTS3-58-0508	13.2650229464881	25.8638900327771	4	0.26869799322425736	135.196964353792	#ffd0d0
PTH14-1116	7.33753903052983	44.2635838108363	1	0.1258645439413012	20.7282123422223	#fff8f8
TTR35-0322	28.7810434307514	-25.0991120066126	8	1.0	959.059974780297	#ff0000
PTH11-1116	0.293456001390975	38.5436676287051	1	0.1	0.0	#ffffff
TTC70-0508	-2.63164459865199	-45.1769152713804	7	0.10398492716429335	3.19357714627489	#fffefe
TTC28-1202	50.4757284598175	7.90129309851267	10	0.1	0.0	#ffffff
NTR56-1116	17.1169011204504	-19.7613003274036	8	0.39718921862203826	238.171654733102	#ffabab
TTH88-1116	12.4343671274099	-20.0155521024783	0	0.12086988158769772	16.7254190945178	#fffafa
JTS-66-0508	27.914460509492	-1.46903951350312	4	0.7921639625427163	554.710016297996	#ff3b3b
TTR191-0508	38.1538603077118	-17.9906122786749	4	0.5825288390351943	386.70545513838	#ff7777
TTC104-1116	-38.3604606696615	-18.971292936537	2	0.1	0.0	#ffffff
NTH29-1116	-32.1637345678164	22.7447915453095	5	0.1	0.0	#ffffff
NTH152-0407	-13.3384358462261	3.79063883244013	0	0.1	0.0	#ffffff
