GeneName	tSNE_1	tSNE_2	x	CCR7_Opacity	CCR7_Expr	CCR7_Color
TTS143-0205	39.4002359052885	-11.8386350493309	4	0.1	0.0	#ffffff
NTH90-1116	-16.8815414202138	15.6858324527738	0	0.1	0.0	#ffffff
PTC14-0407	-37.0025825553824	14.2780176331815	5	0.1003631598519813	1.14707668040817	#ffffff
PTC2-3-0508	-6.93071150722787	-11.8569321594641	5	0.1	0.0	#ffffff
PTS126-0205	35.949230019751	27.0605379826398	3	0.1	0.0	#ffffff
TTC26-0205	-28.9638723958282	-10.3784011077843	0	0.1	0.0	#ffffff
NTR41-0407	-4.78059738700711	20.1778088471426	1	0.26139758949303116	509.790413702123	#ffd2d2
TTC38-0508	-4.65861722184987	-41.6387658815832	7	0.1	0.0	#ffffff
TTS1-62-0508	34.592385764835	0.00483845159560265	4	0.1	0.0	#ffffff
TTS67-0205	35.9192315708706	-7.41479899670747	4	0.1	0.0	#ffffff
NTH187-0322	9.9889430210562	44.6837612593279	1	1.0	4955.14735888883	#ff0000
TTC1-0407	-30.8621495356676	-1.907365735453	0	0.1	0.0	#ffffff
TTH11-0205	10.147832485878	-3.20831222717954	6	0.1	0.0	#ffffff
PTH56-0407	-7.07624325832853	44.6794455412734	1	1.0	3734.20821458076	#ff0000
TTH161-0407	-30.851965077638	13.9528349769523	0	0.1	0.0	#ffffff
TTR92-0322	20.7207747729905	-24.5943667487909	8	0.1	0.0	#ffffff
TTC34-0407	-26.439971832313	-6.99842936563452	0	0.10037655720842019	1.18939356942088	#ffffff
TTH40-0322	-22.5294132411511	22.1509148211149	0	0.1	0.0	#ffffff
PTH112-0407	-1.1369039869932	43.1159408278676	1	1.0	5065.87624158083	#ff0000
NTH162-0322	-44.0921408170089	-12.491660390577	2	0.1	0.0	#ffffff
PTS47-0205	17.8113262817134	11.7737526519987	3	0.1	0.0	#ffffff
JTC-61-0508	-8.86690073287941	-19.7448306519642	7	0.1	0.0	#ffffff
TTH65-0322	-18.0069655011434	15.8585301802574	0	0.1	0.0	#ffffff
TTH76-0407	-30.8935463685051	16.0123974803598	0	0.1	0.0	#ffffff
TTH8-0407	-42.845752729056	-8.23029220972029	2	0.10128407389265615	4.05587569812827	#ffffff
TTR159-0508	35.1882360850085	-1.77365761903931	4	0.1	0.0	#ffffff
